,year,location
1324,1986,Colombia
1327,1987,Colombia
1330,1988,Colombia
1334,1989,Colombia
1337,1990,Colombia
1340,1991,Colombia
1342,1992,Colombia
1344,1993,Colombia
1346,1994,Colombia
1348,1995,Colombia
1350,1996,Colombia
1352,1997,Colombia
1354,1998,Colombia
1356,1999,Colombia
1358,2000,Colombia
1360,2001,Colombia
1362,2002,Colombia
1364,2003,Colombia
1366,2004,Colombia
1369,2005,Colombia
1371,2006,Colombia
1373,2007,Colombia
1374,2008,Colombia
1376,2009,Colombia
1377,2010,Colombia
1379,2011,Colombia
1380,2012,Colombia
1381,2013,Colombia
1383,2014,Colombia
1384,2015,Colombia
1386,2016,Colombia
1387,1965,Dominican Republic
1389,1967,Indonesia
1390,1968,Indonesia
1391,1969,Indonesia
1392,1976,Indonesia
1393,1977,Indonesia
1394,1978,Indonesia
1395,1981,Indonesia
1396,1984,Indonesia
1397,1965,Peru
1399,1982,Peru
1400,1983,Peru
1401,1984,Peru
1402,1985,Peru
1403,1986,Peru
1404,1987,Peru
1405,1988,Peru
1406,1989,Peru
1408,1990,Peru
1410,1991,Peru
1412,1992,Peru
1414,1993,Peru
1416,1994,Peru
1417,1995,Peru
1418,1996,Peru
1419,1997,Peru
1420,1998,Peru
1421,1999,Peru
1422,2007,Peru
1423,2008,Peru
1424,2009,Peru
1425,2010,Peru
1426,1965,South Vietnam
1427,1965,Vietnam
1428,1966,South Vietnam
1429,1966,Vietnam
1430,1967,South Vietnam
1431,1967,Vietnam
1432,1968,South Vietnam
1433,1968,Vietnam
1434,1969,South Vietnam
1435,1969,Vietnam
1436,1970,South Vietnam
1437,1970,Vietnam
1438,1971,South Vietnam
1439,1971,Vietnam
1440,1972,South Vietnam
1441,1972,Vietnam
1442,1973,South Vietnam
1443,1973,Vietnam
1444,1974,South Vietnam
1445,1974,Vietnam
1446,1975,South Vietnam
1447,1975,Vietnam
1448,1977,Cambodia
1450,1978,Cambodia
1452,2011,Cambodia
1453,2011,Thailand
1454,1966,Ghana
1455,1981,Ghana
1456,1983,Ghana
1460,1966,Nigeria
1461,2009,Nigeria
1462,2011,Nigeria
1463,2012,Nigeria
1464,2013,Nigeria
1465,2014,Nigeria
1466,2015,Nigeria
1467,2016,Nigeria
1468,1966,South Africa
1469,1967,South Africa
1470,1968,South Africa
1471,1969,South Africa
1472,1970,South Africa
1473,1971,South Africa
1474,1972,South Africa
1475,1973,South Africa
1476,1974,South Africa
1477,1975,South Africa
1478,1976,South Africa
1479,1977,South Africa
1480,1978,South Africa
1481,1979,South Africa
1482,1980,South Africa
1483,1981,South Africa
1484,1982,South Africa
1485,1983,South Africa
1486,1984,South Africa
1487,1985,South Africa
1488,1986,South Africa
1489,1987,South Africa
1490,1988,South Africa
1491,1966,Syria
1492,1979,Syria
1493,1980,Syria
1494,1981,Syria
1495,1982,Syria
1496,2011,Syria
1497,2012,Syria
1498,2013,Syria
1499,2014,Syria
1500,2015,Syria
1501,2016,Syria
1502,1967,Cambodia
1503,1968,Cambodia
1504,1969,Cambodia
1505,1970,Cambodia
1506,1971,Cambodia
1507,1972,Cambodia
1508,1973,Cambodia
1509,1974,Cambodia
1510,1975,Cambodia
1512,1979,Cambodia
1515,1980,Cambodia
1517,1981,Cambodia
1519,1982,Cambodia
1522,1983,Cambodia
1525,1984,Cambodia
1528,1985,Cambodia
1531,1986,Cambodia
1534,1987,Cambodia
1537,1988,Cambodia
1540,1989,Cambodia
1543,1990,Cambodia
1545,1991,Cambodia
1548,1992,Cambodia
1549,1993,Cambodia
1550,1994,Cambodia
1551,1995,Cambodia
1552,1996,Cambodia
1553,1997,Cambodia
1555,1998,Cambodia
1557,1967,Jordan
1559,1967,Syria
1561,1973,Syria
1562,1967,Nigeria
1563,1968,Nigeria
1564,1969,Nigeria
1565,1970,Nigeria
1566,1969,China
1569,1969,Russia
1570,1969,El Salvador
1571,1969,Honduras
1572,2000,Guinea
1573,2001,Guinea
1601,1996,Philippines
1605,1998,Philippines
1645,1976,Sudan
1646,1983,Sudan
1647,1984,Sudan
1648,1985,Sudan
1649,1986,Sudan
1650,1987,Sudan
1651,1988,Sudan
1652,1989,Sudan
1653,1990,Sudan
1654,1991,Sudan
1655,1992,Sudan
1656,1993,Sudan
1657,1994,Sudan
1658,1995,Sudan
1659,1996,Sudan
1661,1997,Sudan
1663,1998,Sudan
1665,1999,Sudan
1667,2000,Sudan
1669,2001,Sudan
1671,2002,Sudan
1672,2003,Sudan
1675,2004,Sudan
1678,2005,Sudan
1679,2006,Sudan
1682,2007,Sudan
1684,2008,Sudan
1687,2009,Sudan
1689,2010,Sudan
1692,2011,Sudan
1698,2012,Sudan
1699,2013,Sudan
1700,2014,Sudan
1703,2015,Sudan
1705,2016,Sudan
1706,1971,Madagascar
1707,1971,Morocco
1709,1971,Sri Lanka
1710,1989,Sri Lanka
1711,1990,Sri Lanka
1712,1971,Uganda
1713,1972,Uganda
1714,1974,Uganda
1715,1979,Uganda
1718,1980,Uganda
1719,1981,Uganda
1722,1982,Uganda
1725,1983,Uganda
1727,1984,Uganda
1728,1985,Uganda
1729,1986,Uganda
1732,1987,Uganda
1735,1988,Uganda
1738,1989,Uganda
1740,1990,Uganda
1742,1991,Uganda
1744,1992,Uganda
1745,1994,Uganda
1746,1995,Uganda
1747,1996,Uganda
1750,1997,Uganda
1753,1998,Uganda
1755,1999,Uganda
1756,2000,Uganda
1758,2001,Uganda
1760,2002,Uganda
1762,2003,Uganda
1763,2004,Uganda
1764,2005,Uganda
1765,2006,Uganda
1766,2007,Uganda
1767,2008,Uganda
1768,2009,Uganda
1769,2010,Uganda
1771,2011,Uganda
1773,2013,Uganda
1775,2014,Uganda
1777,2015,Uganda
1778,2016,Uganda
1779,1971,United Kingdom
1780,1972,United Kingdom
1781,1973,United Kingdom
1782,1974,United Kingdom
1783,1975,United Kingdom
1784,1976,United Kingdom
1785,1977,United Kingdom
1786,1978,United Kingdom
1787,1979,United Kingdom
1788,1980,United Kingdom
1789,1981,United Kingdom
1790,1982,United Kingdom
1791,1983,United Kingdom
1792,1984,United Kingdom
1793,1985,United Kingdom
1794,1986,United Kingdom
1795,1987,United Kingdom
1796,1988,United Kingdom
1797,1989,United Kingdom
1798,1990,United Kingdom
1799,1991,United Kingdom
1800,1998,United Kingdom
1801,1972,El Salvador
1802,1979,El Salvador
1804,1980,El Salvador
1805,1981,El Salvador
1806,1982,El Salvador
1807,1983,El Salvador
1808,1984,El Salvador
1809,1985,El Salvador
1810,1986,El Salvador
1811,1987,El Salvador
1812,1988,El Salvador
1813,1989,El Salvador
1814,1990,El Salvador
1815,1991,El Salvador
1816,1969,Oman
1817,1970,Oman
1818,1971,Oman
1819,1972,Oman
1820,1973,Oman
1821,1974,Oman
1822,1975,Oman
1823,1967,Zimbabwe
1824,1968,Zimbabwe
1825,1973,Zimbabwe
1827,1974,Zimbabwe
1829,1975,Zimbabwe
1830,1976,Zimbabwe
1832,1977,Zimbabwe
1833,1978,Zimbabwe
1834,1979,Zimbabwe
1835,1972,Uruguay
1836,1972,South Yemen
1837,1972,Yemen
1838,1979,South Yemen
1840,1973,Chile
1841,1975,Bangladesh
1842,1976,Bangladesh
1843,1977,Bangladesh
1844,1978,Bangladesh
1845,1979,Bangladesh
1846,1980,Bangladesh
1847,1981,Bangladesh
1848,1982,Bangladesh
1849,1983,Bangladesh
1850,1984,Bangladesh
1851,1985,Bangladesh
1852,1986,Bangladesh
1853,1987,Bangladesh
1854,1988,Bangladesh
1855,1989,Bangladesh
1856,1990,Bangladesh
1857,1991,Bangladesh
1858,1974,Cyprus
1859,1974,Turkey
1860,1974,Iran
1880,1974,Pakistan
1881,1975,Pakistan
1882,1976,Pakistan
1883,1977,Pakistan
1884,2004,Pakistan
1885,2006,Pakistan
1887,2007,Pakistan
1888,2008,Pakistan
1890,2009,Pakistan
1892,2011,Pakistan
1893,2012,Pakistan
1896,2013,Pakistan
1904,1997,Eritrea
1905,1999,Eritrea
1906,2003,Eritrea
1907,1975,Angola
1909,1976,Angola
1911,1977,Angola
1913,1978,Angola
1915,1979,Angola
1917,1980,Angola
1918,1981,Angola
1919,1982,Angola
1920,1983,Angola
1921,1984,Angola
1922,1985,Angola
1923,1986,Angola
1924,1987,Angola
1925,1988,Angola
1926,1989,Angola
1927,1990,Angola
1928,1991,Angola
1929,1992,Angola
1930,1993,Angola
1931,1994,Angola
1932,1995,Angola
1933,1998,Angola
1934,1999,Angola
1935,2000,Angola
1936,2001,Angola
1937,2002,Angola
1940,1976,Cambodia
1941,1976,Vietnam
1943,1977,Vietnam
1953,1993,Ethiopia
1954,1994,Ethiopia
1955,1996,Ethiopia
1957,1998,Ethiopia
1958,1999,Ethiopia
1960,2000,Ethiopia
1961,2001,Ethiopia
1962,2002,Ethiopia
1963,2003,Ethiopia
1964,2004,Ethiopia
1965,2005,Ethiopia
1966,2006,Ethiopia
1967,2007,Ethiopia
1968,2008,Ethiopia
1969,2009,Ethiopia
1970,2010,Ethiopia
1971,2011,Ethiopia
1972,2012,Ethiopia
1973,2013,Ethiopia
1974,2014,Ethiopia
1975,2015,Ethiopia
1976,2016,Ethiopia
1977,1975,Indonesia
1981,1979,Indonesia
1982,1980,Indonesia
1984,1982,Indonesia
1985,1983,Indonesia
1987,1985,Indonesia
1988,1986,Indonesia
1989,1987,Indonesia
