,location,year
124,Congo,2016
125,Burundi,1996
126,Burundi,1997
127,Burundi,1998
128,Burundi,1999
129,Burundi,2000
130,Burundi,2001
131,Burundi,2002
132,Burundi,2003
133,Burundi,2004
134,Burundi,2005
135,Burundi,2006
136,Burundi,2008
137,Burundi,2014
138,Burundi,2015
139,Chad,1997
140,Chad,1998
141,Chad,1999
142,Chad,2000
143,Chad,2001
144,Chad,2002
145,Chad,2003
146,Chad,2005
147,Chad,2006
148,Chad,2007
149,Chad,2008
150,Chad,2009
151,Chad,2010
152,Colombia,1996
153,Colombia,1997
154,Colombia,1998
155,Colombia,1999
156,Colombia,2000
157,Colombia,2001
158,Colombia,2002
159,Colombia,2003
160,Colombia,2004
161,Colombia,2005
162,Colombia,2006
163,Colombia,2007
164,Colombia,2008
165,Colombia,2009
166,Colombia,2010
167,Colombia,2011
168,Colombia,2012
169,Colombia,2013
170,Colombia,2014
171,Colombia,2015
172,Colombia,2016
173,Peru,1996
174,Peru,1997
175,Peru,1998
176,Peru,1999
177,Peru,2007
178,Peru,2008
179,Peru,2009
180,Peru,2010
181,Cambodia,2011
182,Nigeria,2009
183,Nigeria,2011
184,Nigeria,2012
185,Nigeria,2013
186,Nigeria,2014
187,Nigeria,2015
188,Nigeria,2016
189,Syria,2011
190,Syria,2012
191,Syria,2013
192,Syria,2014
193,Syria,2015
194,Syria,2016
195,Cambodia,1996
196,Cambodia,1997
197,Cambodia,1998
198,Guinea,2000
199,Guinea,2001
200,Philippines,1996
201,Philippines,1998
202,Sudan,1996
203,Sudan,1997
204,Sudan,1998
205,Sudan,1999
206,Sudan,2000
207,Sudan,2001
208,Sudan,2002
209,Sudan,2003
210,Sudan,2004
211,Sudan,2005
212,Sudan,2006
213,Sudan,2007
214,Sudan,2008
215,Sudan,2009
216,Sudan,2010
217,Sudan,2011
218,Sudan,2012
219,Sudan,2013
220,Sudan,2014
221,Sudan,2015
222,Sudan,2016
223,Uganda,1996
224,Uganda,1997
225,Uganda,1998
226,Uganda,1999
227,Uganda,2000
228,Uganda,2001
229,Uganda,2002
230,Uganda,2003
231,Uganda,2004
232,Uganda,2005
233,Uganda,2006
234,Uganda,2007
235,Uganda,2008
236,Uganda,2009
237,Uganda,2010
238,Uganda,2011
239,Uganda,2013
240,Uganda,2014
241,Uganda,2015
242,Uganda,2016
243,United Kingdom,1998
244,Pakistan,2004
245,Pakistan,2006
246,Pakistan,2007
247,Pakistan,2008
248,Pakistan,2009
249,Pakistan,2011
250,Pakistan,2012
251,Pakistan,2013
252,Pakistan,2014
253,Pakistan,2015
254,Pakistan,2016
255,Eritrea,1997
256,Eritrea,1999
257,Eritrea,2003
258,Angola,1998
259,Angola,1999
260,Angola,2000
261,Angola,2001
262,Angola,2002
263,Ethiopia,1996
264,Ethiopia,1998
265,Ethiopia,1999
266,Ethiopia,2000
267,Ethiopia,2001
268,Ethiopia,2002
269,Ethiopia,2003
270,Ethiopia,2004
271,Ethiopia,2005
272,Ethiopia,2006
273,Ethiopia,2007
